Symbol,Ask_Price,Ask_Vol,Bid_Price,Bid_Vol,Timestamp
AAPL,127.37,8,127.35,6,2021-05-14 15:17:14.123915185-04:00
AAPL,127.37,7,127.35,6,2021-05-14 15:17:14.124451674-04:00
AAPL,127.37,6,127.35,6,2021-05-14 15:17:14.124470317-04:00
AAPL,127.37,2,127.35,6,2021-05-14 15:17:14.124470717-04:00
AAPL,127.37,2,127.35,6,2021-05-14 15:17:14.125118656-04:00
AAPL,127.37,1,127.35,6,2021-05-14 15:17:14.125121316-04:00
AAPL,127.37,1,127.35,5,2021-05-14 15:17:14.125181322-04:00
AAPL,127.38,2,127.35,5,2021-05-14 15:17:14.125207319-04:00
AAPL,127.38,2,127.36,1,2021-05-14 15:17:14.125214678-04:00
AAPL,127.38,2,127.36,2,2021-05-14 15:17:14.125223061-04:00
AAPL,127.38,2,127.36,1,2021-05-14 15:17:14.125281686-04:00
AAPL,127.38,2,127.36,2,2021-05-14 15:17:14.125476164-04:00
AAPL,127.38,2,127.36,5,2021-05-14 15:17:14.125530859-04:00
AAPL,127.37,1,127.36,5,2021-05-14 15:17:14.125573326-04:00
AAPL,127.37,1,127.36,5,2021-05-14 15:17:14.125652167-04:00
AAPL,127.37,1,127.36,6,2021-05-14 15:17:14.125903496-04:00
AAPL,127.37,1,127.36,3,2021-05-14 15:17:14.126018965-04:00
AAPL,127.37,1,127.36,4,2021-05-14 15:17:14.126069977-04:00
AAPL,127.37,1,127.36,3,2021-05-14 15:17:14.126120743-04:00
AAPL,127.38,2,127.36,3,2021-05-14 15:17:14.126183991-04:00
AAPL,127.38,2,127.36,3,2021-05-14 15:17:14.126432749-04:00
AAPL,127.37,1,127.36,3,2021-05-14 15:17:14.126569400-04:00
AAPL,127.37,1,127.36,2,2021-05-14 15:17:14.126591258-04:00
AAPL,127.37,2,127.36,2,2021-05-14 15:17:14.127264819-04:00
AAPL,127.37,1,127.36,2,2021-05-14 15:17:14.127286481-04:00
AAPL,127.37,1,127.36,1,2021-05-14 15:17:14.127922662-04:00
AAPL,127.37,2,127.36,1,2021-05-14 15:17:14.135759075-04:00
AAPL,127.37,3,127.36,1,2021-05-14 15:17:14.140620249-04:00
AAPL,127.37,2,127.36,1,2021-05-14 15:17:14.151459787-04:00
AAPL,127.37,3,127.36,1,2021-05-14 15:17:14.160434878-04:00
AAPL,127.37,2,127.36,1,2021-05-14 15:17:14.167328333-04:00
AAPL,127.37,3,127.36,1,2021-05-14 15:17:14.171481237-04:00
AAPL,127.37,3,127.35,1,2021-05-14 15:17:14.176168104-04:00
AAPL,127.37,4,127.35,1,2021-05-14 15:17:14.176175296-04:00
AAPL,127.37,3,127.35,1,2021-05-14 15:17:14.336578080-04:00
AAPL,127.37,3,127.36,1,2021-05-14 15:17:14.336587575-04:00
AAPL,127.37,2,127.36,1,2021-05-14 15:17:14.426312391-04:00
AAPL,127.37,1,127.36,1,2021-05-14 15:17:14.427044658-04:00
AAPL,127.37,1,127.36,2,2021-05-14 15:17:14.527409218-04:00
AAPL,127.37,1,127.36,1,2021-05-14 15:17:14.528162799-04:00
AAPL,127.37,1,127.36,2,2021-05-14 15:17:14.534251892-04:00
AAPL,127.37,1,127.36,5,2021-05-14 15:17:14.534254378-04:00
AAPL,127.38,2,127.36,5,2021-05-14 15:17:14.534274563-04:00
AAPL,127.38,2,127.36,5,2021-05-14 15:17:14.534291877-04:00
AAPL,127.38,2,127.36,4,2021-05-14 15:17:14.535211390-04:00
AAPL,127.38,2,127.36,5,2021-05-14 15:17:14.535868328-04:00
AAPL,127.38,2,127.36,4,2021-05-14 15:17:14.535984327-04:00
AAPL,127.38,2,127.36,4,2021-05-14 15:17:14.535992331-04:00
AAPL,127.38,3,127.36,4,2021-05-14 15:17:14.539548480-04:00
AAPL,127.38,3,127.36,4,2021-05-14 15:17:14.539596091-04:00
AAPL,127.38,2,127.36,4,2021-05-14 15:17:14.539603886-04:00
AAPL,127.38,1,127.36,4,2021-05-14 15:17:14.539727306-04:00
AAPL,127.38,1,127.36,4,2021-05-14 15:17:14.539878269-04:00
AAPL,127.38,2,127.36,4,2021-05-14 15:17:14.539890328-04:00
AAPL,127.38,2,127.37,1,2021-05-14 15:17:14.539961559-04:00
AAPL,127.38,1,127.37,1,2021-05-14 15:17:14.539963340-04:00
AAPL,127.38,2,127.37,1,2021-05-14 15:17:14.540020667-04:00
AAPL,127.38,1,127.37,1,2021-05-14 15:17:14.540062119-04:00
AAPL,127.38,1,127.37,2,2021-05-14 15:17:14.540063126-04:00
AAPL,127.4,1,127.37,2,2021-05-14 15:17:14.540150068-04:00
AAPL,127.38,1,127.37,2,2021-05-14 15:17:14.540242818-04:00
AAPL,127.38,1,127.37,1,2021-05-14 15:17:14.540313969-04:00
